mean=0_0_0_0,0.2118,0.2118,0.21178343949_0.21178343949_0.21178343949_0.21178343949,0.21178343949_0.21178343949_0.21178343949_0.21178343949,133,133,133,133,8,8,8,8
mean=0_0_0_1,0.1854,0.1734,0.21178343949_0.21178343949_0.21178343949_0.106172157841,0.21178343949_0.21178343949_0.21178343949_0.0580552040462,133,133,133,133,8,8,8,8
mean=0_0_0_2,0.1894,0.1604,0.21178343949_0.21178343949_0.21178343949_0.1221,0.21178343949_0.21178343949_0.21178343949_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_0_0_3,0.2108,0.1612,0.21178343949_0.21178343949_0.21178343949_0.2078,0.21178343949_0.21178343949_0.21178343949_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_0_0_4,0.185,0.1588,0.21178343949_0.21178343949_0.21178343949_0.1048,0.21178343949_0.21178343949_0.21178343949_0.0,133,133,133,133,8,8,8,8
mean=0_0_1_1,0.159,0.1349,0.21178343949_0.21178343949_0.106172157841_0.106172157841,0.21178343949_0.21178343949_0.0580552040462_0.0580552040462,133,133,133,133,8,8,8,8
mean=0_0_1_2,0.163,0.122,0.21178343949_0.21178343949_0.106172157841_0.1221,0.21178343949_0.21178343949_0.0580552040462_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_0_1_3,0.1844,0.1227,0.21178343949_0.21178343949_0.106172157841_0.2078,0.21178343949_0.21178343949_0.0580552040462_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_0_1_4,0.1586,0.1204,0.21178343949_0.21178343949_0.106172157841_0.1048,0.21178343949_0.21178343949_0.0580552040462_0.0,133,133,133,133,8,8,8,8
mean=0_0_2_2,0.1669,0.109,0.21178343949_0.21178343949_0.1221_0.1221,0.21178343949_0.21178343949_0.00622594521168_0.00622594521168,133,133,133,133,8,8,8,8
mean=0_0_2_3,0.1884,0.1098,0.21178343949_0.21178343949_0.1221_0.2078,0.21178343949_0.21178343949_0.00622594521168_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_0_2_4,0.1626,0.1074,0.21178343949_0.21178343949_0.1221_0.1048,0.21178343949_0.21178343949_0.00622594521168_0.0,133,133,133,133,8,8,8,8
mean=0_0_3_3,0.2098,0.1105,0.21178343949_0.21178343949_0.2078_0.2078,0.21178343949_0.21178343949_0.00925462731366_0.00925462731366,133,133,133,133,8,8,8,8
mean=0_0_3_4,0.184,0.1082,0.21178343949_0.21178343949_0.2078_0.1048,0.21178343949_0.21178343949_0.00925462731366_0.0,133,133,133,133,8,8,8,8
mean=0_0_4_4,0.1583,0.1059,0.21178343949_0.21178343949_0.1048_0.1048,0.21178343949_0.21178343949_0.0_0.0,133,133,133,133,8,8,8,8
