mean=0_0_0_0_0_0_0,0.3496,0.3355,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.364649681529,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_0_1,0.3235,0.3031,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.181756735318,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.137708685456,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_0_2,0.3173,0.287,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1385,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0247905818429,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_0_3,0.3288,0.2868,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.2191,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233866933467,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_0_4,0.3155,0.2868,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.1257,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.364649681529_0.0233467381591,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_1_1,0.2982,0.286,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.208583133978,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.165979215216,197,197,197,229,229,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_2,0.2902,0.2681,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.1523,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.040412044374,197,197,197,229,229,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_3,0.3023,0.2688,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.208583133978_0.2368,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.165979215216_0.0455227613807,197,197,197,229,229,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_0_1_4,0.2872,0.2526,0.310310509554_0.262738853503_0.364649681529_0.364649681529_0.364649681529_0.208583133978_0.1347,0.21178343949_0.262738853503_0.364649681529_0.364649681529_0.364649681529_0.165979215216_0.033400357462,133,165,229,229,229,249,249,7,8,8,8,8,8,8
mean=0_0_0_0_0_2_2,0.309,0.2457,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.2461875_0.2461875,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.0247905818429_0.0247905818429,197,197,197,229,229,229,229,8,8,8,8,8,7,7
mean=0_0_0_0_0_2_3,0.2965,0.2382,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.1385_0.2191,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.0247905818429_0.0233866933467,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_2_4,0.3074,0.2455,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.2461875_0.2349875,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.0247905818429_0.0233467381591,197,197,197,229,229,229,229,8,8,8,8,8,7,7
mean=0_0_0_0_0_3_3,0.3063,0.2516,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.2368_0.2368,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.0455227613807_0.0455227613807,197,197,197,229,229,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_0_3_4,0.2947,0.238,0.310310509554_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.2191_0.1257,0.21178343949_0.313694267516_0.364649681529_0.364649681529_0.364649681529_0.0233866933467_0.0233467381591,133,197,229,229,229,229,229,7,8,8,8,8,8,8
mean=0_0_0_0_0_4_4,0.3058,0.2453,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.2349875_0.2349875,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.364649681529_0.0233467381591_0.0233467381591,197,197,197,229,229,229,229,8,8,8,8,8,7,7
mean=0_0_0_0_1_1_1,0.2686,0.2504,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.208583133978_0.208583133978,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.165979215216_0.165979215216,165,197,197,229,249,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_2,0.2606,0.2324,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.208583133978_0.1523,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.165979215216_0.040412044374,165,197,197,229,249,249,249,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_3,0.2774,0.2373,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.208583133978_0.2191,0.313694267516_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.165979215216_0.0233866933467,197,197,197,229,249,249,229,8,8,8,8,8,8,8
mean=0_0_0_0_1_1_4,0.2581,0.2314,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.208583133978_0.208583133978_0.1347,0.262738853503_0.313694267516_0.313694267516_0.364649681529_0.165979215216_0.165979215216_0.033400357462,165,197,197,229,249,249,249,8,8,8,8,8,8,8
