mean=0_0_0_0_0,0.2424,0.2424,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.262738853503,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.262738853503,133,133,165,165,165,8,8,8,8,8
mean=0_0_0_0_1,0.2149,0.2055,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.125627230373,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.0785575910408,133,133,165,165,165,8,8,8,8,8
mean=0_0_0_0_2,0.2145,0.1914,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.1235,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.00781073126556,133,133,165,165,165,8,8,8,8,8
mean=0_0_0_0_3,0.2331,0.1939,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.2166,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.020260130065,133,133,165,165,197,8,8,8,8,8
mean=0_0_0_0_4,0.2132,0.1925,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.1168,0.21178343949_0.21178343949_0.262738853503_0.262738853503_0.0134048257373,133,133,165,165,165,8,8,8,8,8
mean=0_0_0_1_1,0.187,0.1687,0.21178343949_0.21178343949_0.21178343949_0.149804467488_0.149804467488,0.21178343949_0.21178343949_0.21178343949_0.104036348366_0.104036348366,133,133,133,197,197,8,8,8,8,8
mean=0_0_0_1_2,0.1831,0.151,0.21178343949_0.21178343949_0.21178343949_0.149804467488_0.1303,0.21178343949_0.21178343949_0.21178343949_0.104036348366_0.0155082635273,133,133,133,197,197,8,8,8,8,8
mean=0_0_0_1_3,0.2057,0.157,0.21178343949_0.21178343949_0.262738853503_0.125627230373_0.2166,0.21178343949_0.21178343949_0.262738853503_0.0785575910408_0.020260130065,133,133,165,165,165,8,8,8,8,8
mean=0_0_0_1_4,0.1816,0.1519,0.21178343949_0.21178343949_0.21178343949_0.149804467488_0.1228,0.21178343949_0.21178343949_0.21178343949_0.104036348366_0.0201072386059,133,133,133,197,197,8,8,8,8,8
mean=0_0_0_2_2,0.1792,0.1333,0.21178343949_0.21178343949_0.21178343949_0.1303_0.1303,0.21178343949_0.21178343949_0.21178343949_0.0155082635273_0.0155082635273,133,133,133,197,197,8,8,8,8,8
mean=0_0_0_2_3,0.1965,0.1342,0.21178343949_0.21178343949_0.21178343949_0.1303_0.2166,0.21178343949_0.21178343949_0.21178343949_0.0155082635273_0.020260130065,133,133,133,197,197,8,8,8,8,8
mean=0_0_0_2_4,0.1777,0.1342,0.21178343949_0.21178343949_0.21178343949_0.1303_0.1228,0.21178343949_0.21178343949_0.21178343949_0.0155082635273_0.0201072386059,133,133,133,197,197,8,8,8,8,8
